Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
2000,1.8778043,0.00029999996,-0.16666666294137636,15.883333333333333,1.7988219,-0.16677965634202552,0.09019135,-2.2826505,0.0013532937,0.0012686343,0.9838423
4000,1.882925,0.00029999999,-0.1606779625102625,16.0,3.163721,-0.15999999553975414,0.1209466,-3.256408,0.023778921,0.01563103,0.94675547
6000,1.8771236,0.00029999999,-0.14931034136178165,15.974137931034482,4.4493804,-0.1494017054891994,0.16129845,-4.458272,0.039369434,0.028264137,0.9046141
8000,1.8838725,0.00029999996,-0.12699999703715245,15.991666666666667,5.606696,-0.1250847418934612,0.22529379,-5.6842394,0.050237704,0.04078259,0.8632273
10000,1.8898257,0.00029999999,-0.13655172108576216,16.0,6.6788554,-0.13966101344864248,0.20354223,-6.7995763,0.049313787,0.040372748,0.8254298
12000,1.8675308,0.00029999999,-0.14769230439112738,16.0,7.763818,-0.14632478254473108,0.36299604,-7.7401924,0.08824559,0.075090766,0.7900087
14000,1.8699425,0.00029999999,-0.16941176091923432,16.0,8.75088,-0.1688135550436327,0.29069903,-8.674209,0.06313718,0.052725554,0.75564736
16000,1.8694541,0.00029999999,-0.1276666635647416,15.975,9.372018,-0.1298305047518116,0.35332787,-9.45958,0.091103286,0.08085157,0.722929
18000,1.8751563,0.00029999999,-0.14344827265575014,16.0,10.236938,-0.1437288094627655,0.37675387,-10.259891,0.10048644,0.08695725,0.6920652
20000,1.8840111,0.00029999999,-0.1439316205871411,15.974358974358974,11.144121,-0.14188033775386646,0.35269406,-11.021307,0.07941894,0.07154803,0.66291744
22000,1.8809494,0.00029999999,-0.14033897991402675,16.0,11.62705,-0.14169491132942297,0.29445255,-11.671773,0.073406674,0.06801215,0.6342479
24000,1.871766,0.00029999999,-0.13084745470245004,16.0,12.048696,-0.13016948798450373,0.37268892,-12.309955,0.0989048,0.090435535,0.6074875
26000,1.8742214,0.00029999999,-0.13264956968462366,16.0,12.639508,-0.1312820479655877,0.3080953,-12.903312,0.077698395,0.0749736,0.58237183
28000,1.8745652,0.00029999999,-0.14529914192409596,15.957264957264957,13.375651,-0.1474576231281636,0.3615338,-13.4539175,0.09608068,0.08403458,0.55787855
30000,1.8824786,0.00029999999,-0.10033333096653223,15.991666666666667,13.968367,-0.09999999744912326,0.28424102,-14.014128,0.08118845,0.07712337,0.5344142
32000,1.8777431,0.0003,-0.12068965247478979,16.0,14.545773,-0.11932203047356363,0.295781,-14.494467,0.08143618,0.07448993,0.5115609
34000,1.8818885,0.00029999999,-0.10299999757359425,15.958333333333334,14.988003,-0.10067796315682137,0.34320268,-14.975328,0.10364713,0.09374076,0.48967138
36000,1.8980212,0.00029999999,-0.113103445747803,16.0,15.434246,-0.11487179154004806,0.28407747,-15.434484,0.072887905,0.077549554,0.46930617
38000,1.9011835,0.00029999999,-0.10393162160857111,16.0,15.761413,-0.10576270937414492,0.3701471,-15.82997,0.1088106,0.10096776,0.44992203
40000,1.900336,0.0003,-0.1333333303531011,16.0,16.30236,-0.13128204783822736,0.30007985,-16.203518,0.073258474,0.07792785,0.43094105
42000,1.919546,0.00029999996,-0.14789915635806172,16.0,16.540684,-0.14847457244739695,0.33176273,-16.507463,0.088696525,0.082371995,0.41608894
44000,1.9174148,0.00029999999,-0.11897435631507482,16.0,16.7242,-0.12271186115883165,0.29693168,-16.701002,0.08192951,0.080715574,0.40556285
46000,1.9194413,0.0003,-0.14101694600056794,16.0,16.965172,-0.13811965477772248,0.24487738,-16.903616,0.059259437,0.07382832,0.3959235
48000,1.934313,0.00029999999,-0.14305084426019152,16.0,17.15034,-0.14305084400762946,0.22404052,-17.087381,0.07035332,0.059023306,0.38651428
