Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
4000,1.8849932,0.00029999999,-0.16933332954843838,15.941666666666666,1.0274853,-0.16813558886238075,0.038445648,-1.4773034,0.004733434,0.005896439,0.49133477
8000,1.8826543,0.00029999999,-0.13344398023429252,15.983402489626556,2.4187028,-0.13480850705441008,0.055881463,-2.468638,0.010217081,0.017213376,0.4716286
12000,1.8778844,0.00029999996,-0.12733624163022728,15.995633187772926,3.192883,-0.12817020955237937,0.059886023,-3.2692707,0.013675942,0.01671168,0.45021066
16000,1.8762653,0.00029999999,-0.14119657804059166,16.0,3.8525634,-0.14067796251531375,0.05900748,-3.9127417,0.012195409,0.018956287,0.42934945
20000,1.878661,0.00029999999,-0.12135592936459234,15.983050847457626,4.3649473,-0.12017020957267031,0.059585396,-4.402991,0.017038472,0.015522612,0.40902704
24000,1.9015687,0.00029999999,-0.12051281775546889,15.987179487179487,4.817466,-0.12186440332966336,0.015706992,-4.8177404,0.005312778,0.0059271757,0.3900335
28000,1.8967648,0.00029999999,-0.12799999713897706,16.0,5.0737147,-0.12834042221941847,0.053529076,-5.08629,0.015348193,0.015543602,0.37219858
32000,1.9017555,0.00029999999,-0.11611814086447285,16.0,5.2804093,-0.11710638029778257,0.05218582,-5.2998853,0.013047523,0.014263426,0.35499355
36000,1.9201242,0.00029999999,-0.14774467754871287,16.0,5.4632535,-0.14610169120764327,0.008480912,-5.451523,0.0037313998,0.0037430995,0.33843467
40000,1.9079841,0.00029999999,-0.1268376040025654,16.0,5.523959,-0.1269787199953769,0.016392093,-5.5192947,0.0076265023,0.0077477307,0.3226119
44000,1.9183749,0.00029999996,-0.14808510307301867,16.0,5.548503,-0.14842552815346008,0.010567391,-5.536808,0.004796344,0.0048832945,0.30750442
48000,1.909391,0.00029999999,-0.12658227565167826,16.0,5.5132427,-0.12644067482422974,0.009305309,-5.511098,0.0042180712,0.004259609,0.29304904
52000,1.920506,0.00029999996,-0.13084745470245004,16.0,5.4558024,-0.13174467765270395,0.006091479,-5.4529095,0.0026454,0.002638226,0.27931347
56000,1.9099703,0.00029999999,-0.12978540482439196,16.0,5.366829,-0.12834042234623685,0.0066770124,-5.369513,0.0029398326,0.0029885436,0.2662808
60000,1.9073614,0.00029999999,-0.12840335847449905,16.0,5.2547426,-0.12765957136103448,0.004165737,-5.2581353,0.0017910665,0.0018322659,0.25357828
64000,1.9101924,0.00029999999,-0.13299145001886237,16.0,5.132528,-0.1342372846300319,0.0037923504,-5.13423,0.0016437112,0.0016632657,0.24145517
68000,1.9054608,0.00029999999,-0.1262978695174481,16.0,4.988019,-0.12629786920040212,0.0034720523,-4.994799,0.0014676078,0.001473127,0.22987449
72000,1.9167626,0.00029999999,-0.136170209722316,16.0,4.8362255,-0.13617020915163325,0.003944755,-4.8366294,0.0017357231,0.0017566292,0.21841517
76000,1.9225842,0.0003,-0.11593220073540332,15.974576271186441,4.673528,-0.11728813252964262,0.0028264706,-4.67049,0.0012393045,0.0012750463,0.20747843
80000,1.9180093,0.00029999999,-0.11118643819275549,16.0,4.505981,-0.11029786962143918,0.0028329354,-4.5015144,0.001213443,0.0012370211,0.19701362
84000,1.9150246,0.0003,-0.11965811698355226,16.0,4.333369,-0.11932203097868774,0.0035528038,-4.327421,0.0014910761,0.0015315842,0.18710928
88000,1.9079294,0.0003,-0.10305084509112067,15.991525423728813,4.149653,-0.10212765710150942,0.0041715405,-4.15752,0.0015481275,0.0016160097,0.17783883
92000,1.9180051,0.00029999999,-0.10288135356948537,15.978813559322035,3.9853148,-0.10389830228888382,0.0036370447,-3.9850416,0.0015887636,0.0016436854,0.16904257
96000,1.9153142,0.00029999999,-0.10280850834034859,16.0,3.824718,-0.10212765684787263,0.0026880386,-3.8185837,0.0011089965,0.0011564814,0.1607611
100000,1.9021893,0.00029999999,-0.08782978527089383,16.0,3.656657,-0.08919148705107101,0.004111426,-3.65216,0.0018355114,0.0019132841,0.15287344
104000,1.9065975,0.00029999999,-0.09367521158140948,16.0,3.4916463,-0.0929361676916163,0.00306907,-3.4926195,0.0012602262,0.0013742895,0.14542031
108000,1.9082026,0.00029999999,-0.08978902752892377,16.0,3.3319237,-0.08949152317087529,0.0043698624,-3.338943,0.0012007016,0.0015957576,0.13838145
112000,1.9080497,0.00029999999,-0.07472340245830252,15.97872340425532,3.1870792,-0.07506382769726692,0.0029219503,-3.1874046,0.001297674,0.0013466923,0.13160433
116000,1.8997763,0.00029999996,-0.07728813386569588,16.0,3.040682,-0.07627118448332204,0.0040090643,-3.0392694,0.0014458384,0.0015586596,0.12521657
120000,1.9009446,0.00029999999,-0.08186440488670842,15.978813559322035,2.8973331,-0.08085106192751133,0.0042389985,-2.8969266,0.0017250295,0.0017439299,0.11910868
124000,1.9071556,0.00029999996,-0.0794871776468224,15.987179487179487,2.7611969,-0.08084745547276433,0.0041108285,-2.7606227,0.0015920046,0.0015376488,0.113300055
128000,1.9016851,0.00029999999,-0.06365957304518273,16.0,2.6363251,-0.06468084942787251,0.0031655678,-2.63084,0.0013214016,0.0012930853,0.10788114
132000,1.9013004,0.00029999999,-0.06491525272317862,15.995762711864407,2.5145519,-0.06382978583904023,0.003193679,-2.509395,0.0013637895,0.0013567219,0.10272817
136000,1.8997147,0.00029999999,-0.06008510497656274,15.995744680851065,2.390991,-0.06118643889992924,0.004474995,-2.3900373,0.0015614402,0.001584247,0.0977613
140000,1.9033784,0.00029999999,-0.06774467927344302,15.991489361702127,2.275451,-0.06774467914662463,0.002425867,-2.2768524,0.0010364598,0.0010524808,0.093039475
144000,1.9029137,0.00029999999,-0.058902952207040185,15.987341772151899,2.1686625,-0.058135591826196445,0.0030827755,-2.1675665,0.0012045616,0.0012477384,0.088593036
148000,1.8992145,0.00029999999,-0.054700853478195324,16.0,2.0583456,-0.05446808382551721,0.0035160189,-2.0619185,0.0013920934,0.0014501248,0.084375605
152000,1.8883688,0.00029999999,-0.0421848729440645,15.987394957983193,1.9640424,-0.04374467984158942,0.0033066268,-1.9621859,0.0013586457,0.001413013,0.08032353
156000,1.8792106,0.0003,-0.0281545057445125,15.982832618025752,1.8748187,-0.02779660935876733,0.0044855373,-1.8761796,0.0014836652,0.0015581959,0.07640985
160000,1.8796699,0.00029999996,-0.02536170149737216,15.987234042553192,1.7989837,-0.0239999994318536,0.002921593,-1.796532,0.0010692319,0.0010664908,0.07274205
164000,1.8873699,0.00029999999,-0.021355931662907033,15.983050847457626,1.7030619,-0.023050846689838474,0.0022389265,-1.7034932,0.0010022059,0.0010197917,0.069143526
168000,1.8795019,0.00029999996,0.009661016859493013,15.961864406779661,1.611741,0.008983050678241051,0.0021946535,-1.6134173,0.0009494579,0.0009814663,0.06570602
172000,1.8737488,0.00029999999,-0.0034042551796487036,15.991489361702127,1.5297518,-0.0027234040042187304,0.0021388403,-1.530379,0.00093733735,0.0009618765,0.06251157
176000,1.8641592,0.00029999996,0.0034042552430579003,16.0,1.4495595,0.004425531879384467,0.0021719215,-1.4517657,0.0009657773,0.0009818514,0.05949066
180000,1.8622327,0.00029999999,0.017046413246840867,15.970464135021096,1.3734653,0.01542372856352289,0.0027269179,-1.3794526,0.0009618121,0.0009992486,0.056554083
184000,1.8489212,0.00029999999,0.008205128021729298,16.0,1.309061,0.00782978705903317,0.0025008724,-1.3099934,0.0009732783,0.0009868086,0.053771682
188000,1.8444194,0.00029999999,0.019830508157610893,15.995762711864407,1.2402768,0.020508474086300802,0.0020145713,-1.2424788,0.000875694,0.0008938475,0.051191006
192000,1.8353431,0.00029999999,0.03729957728823529,15.987341772151899,1.1781442,0.037276595070007,0.0017263304,-1.1774483,0.00080273766,0.00081092276,0.04870059
196000,1.8330646,0.00029999999,0.04102127586907529,15.94468085106383,1.1158595,0.04186440600176989,0.0020045955,-1.1171422,0.00087376713,0.00087651954,0.046370912
200000,1.8340428,0.00029999999,0.026212765561773422,15.957446808510639,1.0532691,0.026440677311965973,0.0020606676,-1.0609485,0.0008786689,0.00088740734,0.044099383
204000,1.8246138,0.00029999996,0.03627118588251583,15.966101694915254,0.99732673,0.03559321985911515,0.0018841524,-1.0049497,0.0007917781,0.0008122192,0.041892853
208000,1.8054698,0.00029999999,0.04271186370465715,15.966101694915254,0.9439835,0.043728812645047396,0.0017369369,-0.9502017,0.00075799815,0.00075668306,0.039845716
212000,1.7820957,0.00029999999,0.0898305067824105,15.915254237288135,0.8998923,0.08915254044330727,0.00196652,-0.9002668,0.0008000387,0.00080734177,0.037880242
216000,1.7820371,0.00029999999,0.1093670863516723,15.974683544303797,0.84862125,0.10949152329210508,0.0020813409,-0.8517373,0.0008121285,0.0008195152,0.036022924
220000,1.7633798,0.00029999996,0.13931623632963905,15.987179487179487,0.8066691,0.13838297521814386,0.001638823,-0.8066968,0.0007196035,0.0007254713,0.03429809
224000,1.757077,0.00029999996,0.1362025288527022,15.936708860759493,0.76675695,0.13711864097138582,0.0017167936,-0.76797926,0.0007673977,0.00076574576,0.03269182
228000,1.7343316,0.00029999999,0.15084745444483677,15.974576271186441,0.72969484,0.1491525388496407,0.0019766192,-0.7299081,0.0008073098,0.00079677225,0.031170672
232000,1.708997,0.00029999996,0.169872336882226,15.940425531914894,0.6942175,0.17050846994428312,0.0016987114,-0.6951858,0.0007217053,0.00072021654,0.029701246
236000,1.6916755,0.00029999999,0.174514764409025,15.907172995780591,0.6589651,0.17485231670397747,0.0016191076,-0.6613811,0.0007294931,0.0007234826,0.028292684
240000,1.6743783,0.00029999999,0.17025209734795474,15.894957983193278,0.6262113,0.17063290710690654,0.0015263279,-0.63125974,0.00070420833,0.0007002864,0.02699498
244000,1.653851,0.00029999999,0.2107234000525576,15.880851063829788,0.6033067,0.21050846942905652,0.0017064925,-0.60151404,0.00075320544,0.0007506264,0.0257428
248000,1.614356,0.00029999999,0.21193276868522667,15.920168067226891,0.5694895,0.2135021040208229,0.0016830642,-0.57233065,0.00073333574,0.0007234233,0.024534918
252000,1.6129184,0.00029999999,0.257071124646953,15.832635983263598,0.54385185,0.2551260441541672,0.0016340052,-0.5463865,0.00073532044,0.0007308913,0.023387477
256000,1.6104294,0.0003,0.23230768736993146,15.91025641025641,0.5238288,0.23203389195062346,0.0017425055,-0.52515775,0.0007465585,0.00073735084,0.022285555
260000,1.5805033,0.00029999999,0.23815125555676572,15.861344537815127,0.5012626,0.2367932427407317,0.0016115142,-0.5034136,0.0006931214,0.00069883495,0.021255776
264000,1.5452923,0.00029999999,0.26194092323256946,15.831223628691983,0.47840413,0.2625210015338008,0.0016186628,-0.48236173,0.0007128244,0.0007100904,0.020275898
268000,1.4816364,0.00029999999,0.2942738533329172,15.680497925311203,0.457592,0.2938333255549272,0.001638652,-0.46291247,0.0006968137,0.0006865317,0.019386485
272000,1.4750273,0.00029999999,0.3117299512783183,15.91139240506329,0.44029924,0.31203388902595486,0.0016051407,-0.4456687,0.0007069824,0.0006988134,0.018589905
276000,1.4416599,0.00029999999,0.3249572578849446,15.978632478632479,0.43106255,0.32491524429139446,0.0014566028,-0.43075657,0.00066549634,0.00066332176,0.017817894
280000,1.4039843,0.00029999996,0.33620252475959844,15.881856540084389,0.4157732,0.3362025218673899,0.0013966112,-0.41684875,0.00066133955,0.00065512385,0.01704379
284000,1.3838785,0.00029999999,0.35514643651172206,15.715481171548117,0.39879298,0.3544769779658218,0.0014347787,-0.40415093,0.0006487306,0.00065405684,0.016315328
