Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
2000,1.8613207,0.00029999999,-0.15081966876006517,15.885245901639344,1.6853186,-0.15050846994933437,0.104299575,-2.1259284,0.0017900697,0.0019072872,0.9892596
4000,1.8890845,0.00029999999,-0.1634482722087153,16.0,2.7807446,-0.16271186013848093,0.02830831,-2.782838,0.003072324,0.0033582302,0.96597445
6000,1.8836689,0.00029999996,-0.1586206861097237,16.0,3.238615,-0.15863247483204573,0.14928573,-3.3207119,0.023860415,0.022891568,0.9433227
8000,1.8772565,0.00029999996,-0.15409835708923028,15.98360655737705,3.812385,-0.1552542330602468,0.10211108,-4.011818,0.018286536,0.019652829,0.9212066
10000,1.8699965,0.00029999999,-0.16210525953455976,16.0,4.683424,-0.16135592783911754,0.13190211,-4.6911263,0.030798186,0.031662762,0.8977316
12000,1.8830714,0.00029999999,-0.151864403385227,16.0,5.2978277,-0.1524786286883884,0.16222371,-5.3251815,0.031957146,0.033796936,0.87610835
14000,1.8734002,0.00029999999,-0.14983050512560345,16.0,5.8561316,-0.15118643666728068,0.19152543,-5.841345,0.04545108,0.04523777,0.85546577
16000,1.8830379,0.00029999996,-0.15327730749835486,16.0,6.480158,-0.15118643666728068,0.22302254,-6.4269886,0.050342813,0.053234383,0.834426
18000,1.8781528,0.00029999996,-0.15726495374981156,16.0,6.923364,-0.15794871327204582,0.1839914,-6.9738007,0.041388355,0.04338776,0.81424415
20000,1.881577,0.0003,-0.13931034171375736,16.0,7.6353064,-0.13966101344864248,0.21284957,-7.512447,0.05447803,0.054863464,0.7946477
22000,1.8944919,0.00029999999,-0.1466666633884112,16.0,7.9276066,-0.14711864040059558,0.29210278,-7.977822,0.07574027,0.076712735,0.77497935
24000,1.910451,0.00029999999,-0.15399999655783175,16.0,8.55702,-0.15316238935686585,0.383267,-8.568138,0.10351411,0.1026668,0.7552464
26000,1.8861628,0.0003,-0.14241378979179367,15.991379310344827,8.920962,-0.14135592872813596,0.3838608,-9.084648,0.08435677,0.08661273,0.7368927
28000,1.9207144,0.00029999999,-0.14956521404826123,16.0,9.6885395,-0.1518644028801029,0.37446344,-9.51895,0.083138525,0.094082005,0.71923584
30000,1.9140781,0.00029999996,-0.15384615040742433,16.0,9.776899,-0.15247862830630735,0.43073213,-9.934604,0.110733144,0.11819265,0.7013446
32000,1.917715,0.00029999996,-0.16733332959314187,16.0,10.208721,-0.16677965678400913,0.40370187,-10.318511,0.10921549,0.11609404,0.6838461
34000,1.9107386,0.00029999999,-0.1457627086063563,16.0,10.783395,-0.14427350079401946,0.4443556,-10.762176,0.12518708,0.12698707,0.6665891
36000,1.9156692,0.00029999996,-0.15423728456184016,15.991525423728813,11.261799,-0.15559321591409586,0.49060097,-11.245739,0.13159299,0.13871767,0.6494858
38000,1.9201511,0.00029999999,-0.1648275825227129,16.0,11.445565,-0.16406779231156332,0.41677245,-11.580931,0.09546052,0.10523499,0.6328121
40000,1.9144808,0.00029999999,-0.1634482722087153,16.0,11.682518,-0.16478632033890128,0.45647317,-11.927104,0.11945016,0.11662993,0.6171985
42000,1.9110651,0.00029999996,-0.1626016223818306,16.0,12.104366,-0.16271186051732403,0.5509109,-12.32886,0.15087938,0.15835342,0.60144925
44000,1.9125459,0.00029999999,-0.18053096941614574,16.0,12.758909,-0.18033897838855195,0.4414018,-12.639329,0.1154668,0.11634737,0.5860859
46000,1.9158692,0.00029999999,-0.16474575902950966,16.0,13.078394,-0.16547008126209944,0.5290678,-13.027236,0.14309725,0.14436781,0.5714384
48000,1.9164903,0.00029999999,-0.16666666294137636,16.0,13.15577,-0.16745762274426929,0.4709316,-13.3359995,0.115379885,0.12751904,0.55699795
50000,1.9039662,0.00029999999,-0.16528925250384432,16.0,13.476257,-0.1647457583981045,0.41376805,-13.66744,0.097913735,0.10120374,0.54264975
52000,1.9099758,0.0003,-0.15063062726377366,16.0,13.77834,-0.14974358601447862,0.57321036,-14.015876,0.14584552,0.15734677,0.5291365
54000,1.8998764,0.00029999996,-0.13966101382748555,16.0,14.431453,-0.1383050814018411,0.40334058,-14.282511,0.09594094,0.10737072,0.5160799
56000,1.923581,0.00029999999,-0.15327730749835486,16.0,14.451511,-0.1559321995256311,0.489794,-14.572503,0.12693237,0.13156463,0.5021438
58000,1.924585,0.00029999999,-0.18051281647804457,16.0,14.934848,-0.17846153396317083,0.41039443,-14.870091,0.107676424,0.10034025,0.48886904
60000,1.9168634,0.00029999999,-0.16813558946221563,16.0,15.154049,-0.1688135550436327,0.49726605,-15.123085,0.1274611,0.1355271,0.47654518
62000,1.911401,0.00029999999,-0.15384615040742433,16.0,15.43131,-0.1552542330602468,0.5192194,-15.355671,0.13533972,0.13549548,0.4642997
64000,1.9032168,0.00029999999,-0.15931623575524387,16.0,15.49793,-0.156581192317172,0.39614886,-15.617466,0.10016774,0.10818462,0.45225993
66000,1.9097118,0.00029999999,-0.16201680310133124,16.0,15.645715,-0.16406779243784436,0.4540183,-15.823929,0.11136068,0.11889091,0.44097918
68000,1.9154023,0.00029999999,-0.147692304263767,15.965811965811966,16.028646,-0.14644067418777337,0.4812733,-16.068577,0.13724902,0.12698682,0.43004063
70000,1.9259536,0.00029999999,-0.1613333297272523,16.0,16.302456,-0.1593162348637214,0.43829122,-16.24712,0.11445763,0.121384315,0.41885096
72000,1.9254775,0.00029999996,-0.1779310305056901,16.0,16.559381,-0.1810169443488121,0.4899112,-16.419146,0.13246596,0.12126712,0.4080698
74000,1.9075019,0.00029999999,-0.1599999964237213,16.0,16.674454,-0.15864406387179586,0.5581168,-16.646206,0.14647114,0.14358565,0.39804292
76000,1.9092036,0.00029999999,-0.14896551391174054,16.0,16.846216,-0.15111110722407317,0.43908742,-16.821321,0.1179987,0.09964853,0.38793814
78000,1.9049758,0.00029999999,-0.16599999628961087,16.0,17.133713,-0.1647457582718235,0.45216185,-17.0135,0.10891624,0.114724524,0.3778147
80000,1.9105843,0.00029999999,-0.14482758296974774,16.0,17.095524,-0.145084742140972,0.5099541,-17.218237,0.13320322,0.13729872,0.3683433
82000,1.9254196,0.00029999996,-0.1593333297719558,16.0,17.33857,-0.1599999959142799,0.42450157,-17.355082,0.112372264,0.112176895,0.3588986
84000,1.9143997,0.00029999999,-0.1710344789357021,16.0,17.44409,-0.16881355466478962,0.4382677,-17.567041,0.10553279,0.1135839,0.3497296
86000,1.9038981,0.00029999999,-0.1599999964237213,16.0,17.795038,-0.1599999957923162,0.3674265,-17.688232,0.09522602,0.09570213,0.34126866
88000,1.8938143,0.00029999999,-0.15172413453973574,16.0,17.779156,-0.15247862779686594,0.4037061,-17.797846,0.10648338,0.106039196,0.3328634
90000,1.9212556,0.00029999999,-0.17266666280726592,16.0,17.90515,-0.17288135093147472,0.33626387,-17.97596,0.09147151,0.090275325,0.3247248
92000,1.9062574,0.00029999999,-0.1579999964684248,16.0,18.027704,-0.1559321995256311,0.2828417,-18.115156,0.071369626,0.07432027,0.31636092
94000,1.9231277,0.00029999999,-0.171228066348193,16.0,18.074043,-0.17367520941118908,0.33200505,-18.270363,0.082573615,0.088263,0.30802783
96000,1.9158697,0.00029999999,-0.15457626773139177,16.0,18.320766,-0.15593219902050698,0.36708882,-18.355213,0.1004956,0.09547502,0.30024195
98000,1.9078357,0.00029999999,-0.14275861749875135,16.0,18.460917,-0.1408546973242719,0.33533293,-18.526932,0.10081523,0.097761765,0.2926083
100000,1.9129952,0.00029999999,-0.15462184528342815,16.0,18.628199,-0.1545762669737056,0.33711293,-18.60266,0.09601669,0.09866095,0.28503788
102000,1.9237186,0.00029999999,-0.1713333295037349,16.0,18.77167,-0.17288135168916088,0.35393214,-18.744823,0.08980014,0.094304785,0.27762166
