Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
2000,1.9609491,0.00029999999,-0.46601308838774763,34.766666666666666,1.8076234,-0.4641711560162631,0.094006084,-2.3189216,0.0009290147,0.0012267049,0.9891287
4000,1.9480741,0.00029999999,-0.4523809683908309,35.0,3.0700836,-0.4551820989165987,0.021487147,-3.1333408,0.000633081,0.00070123613,0.9667667
6000,1.9453744,0.00029999999,-0.46008404989593793,35.0,3.7560909,-0.45798322185873985,0.17532678,-3.9034848,0.034077253,0.02446963,0.9375501
8000,1.9506122,0.00029999999,-0.47435899114666075,35.0,5.1664414,-0.47486634660850874,0.19191334,-5.2076564,0.042759378,0.035790477,0.8976734
10000,1.9485977,0.00029999999,-0.45308124942571987,34.82142857142857,6.451928,-0.4530812648258039,0.25474077,-6.4502563,0.06368876,0.047622263,0.85688466
12000,1.9463727,0.00029999999,-0.45715324784180633,35.0,7.431023,-0.45525849867950785,0.32015342,-7.546276,0.07543801,0.06470137,0.8200185
14000,1.9472406,0.00029999999,-0.4219187833036163,34.982142857142854,8.417211,-0.42612047626503874,0.35429093,-8.5532675,0.081572324,0.06576789,0.7844885
16000,1.9692487,0.00029999999,-0.45168068825400304,35.0,9.442178,-0.44957986074898926,0.33619553,-9.475058,0.08063114,0.07126917,0.7509581
18000,1.9585437,0.00029999999,-0.447829148299726,34.94642857142857,10.261298,-0.4474153605374423,0.4286531,-10.31723,0.120625824,0.100390114,0.719022
20000,1.9463992,0.00029999999,-0.44397760674889597,35.0,11.139821,-0.44397761965436594,0.3604017,-11.162723,0.09702947,0.08460365,0.6880433
22000,1.9445815,0.00029999999,-0.43790851222972077,35.0,11.925851,-0.44064173833890397,0.42387277,-11.900932,0.10315608,0.097387694,0.65859157
24000,1.9562563,0.00029999999,-0.4163165422422545,34.732142857142854,12.549077,-0.4128151553283845,0.3639226,-12.690765,0.09775188,0.08665034,0.63070464
26000,1.9453686,0.00029999996,-0.43382354476489127,35.0,13.3272705,-0.43522412170256886,0.44749743,-13.3715925,0.11036723,0.09648544,0.6040748
28000,1.9348739,0.00029999999,-0.42962186474220027,34.892857142857146,13.841634,-0.42892159920717987,0.4644418,-13.884867,0.121738985,0.11030567,0.5813567
30000,1.937606,0.00029999999,-0.436363651806658,35.0,14.272157,-0.442067764563994,0.4070555,-14.338638,0.11162476,0.08851009,0.56406236
32000,1.9658209,0.00029999999,-0.4383753656542727,35.0,14.618127,-0.4299720171838999,0.35725814,-14.724548,0.09869691,0.093044825,0.5456426
34000,1.9612576,0.00029999999,-0.4334734046964773,35.0,15.2010765,-0.4385027026588267,0.39562637,-15.223701,0.1044765,0.099037,0.5234952
36000,1.9471643,0.00029999999,-0.435574245106961,35.0,15.663559,-0.4327731379973037,0.3855107,-15.745108,0.11708484,0.10991366,0.50063396
38000,1.9418099,0.00029999999,-0.43351160179484977,35.0,16.088299,-0.4342246253382076,0.4573671,-16.271103,0.1351309,0.118907064,0.47734186
40000,1.9392977,0.00029999999,-0.4340770944696048,35.0,16.823984,-0.4327731332076447,0.37755698,-16.760284,0.099916644,0.09149353,0.454654
42000,1.9496503,0.00029999999,-0.44662310948802364,35.0,17.22051,-0.44887958094477654,0.4065992,-17.18439,0.114500865,0.09302856,0.4340101
44000,1.9571953,0.00029999999,-0.4400871615442965,35.0,17.493881,-0.43921571563590656,0.3452704,-17.488401,0.08916361,0.08766155,0.41901875
46000,1.9648777,0.0003,-0.4313725642859936,35.0,17.641413,-0.4369748178869486,0.43104348,-17.791767,0.11798944,0.11986243,0.40495604
48000,1.9447204,0.00029999999,-0.43627452524378896,35.0,18.259024,-0.42923353693702004,0.44225362,-18.092497,0.1398603,0.12373483,0.3877476
50000,1.9541992,0.0003,-0.43627452524378896,35.0,18.357592,-0.4418767807739122,0.40092298,-18.434294,0.12316392,0.10459728,0.3711987
52000,1.9679227,0.00029999996,-0.4255628327804583,35.0,18.544592,-0.4249554625966332,0.27278677,-18.69841,0.06912076,0.086069494,0.35533246
54000,1.9580885,0.00029999999,-0.40161066013388336,34.839285714285715,19.042454,-0.39950982986816336,0.37490904,-18.945074,0.11274133,0.092677176,0.3398087
56000,1.965333,0.0003,-0.4398242211097787,35.0,19.209442,-0.4380252371941294,0.37680665,-19.210583,0.111671604,0.095471054,0.32491413
58000,1.9449885,0.00029999999,-0.43063264565085463,35.0,19.36706,-0.4335116126320579,0.2648267,-19.427303,0.09755925,0.07090192,0.3111765
60000,1.9384433,0.00029999999,-0.40966388094238937,34.82142857142857,19.618727,-0.41176473442465067,0.3580046,-19.621838,0.09583524,0.097359255,0.2980847
62000,1.9471428,0.00029999999,-0.40161065847080735,35.0,19.74966,-0.3981092668005398,0.341715,-19.809038,0.10572965,0.099458136,0.28532913
64000,1.9555076,0.00029999996,-0.40000001415610315,35.0,19.930035,-0.3985739988359538,0.35419938,-19.967937,0.10563902,0.09823174,0.27335426
66000,1.9426211,0.00029999999,-0.42226892250723075,35.0,20.127014,-0.4229692138199295,0.42716107,-20.12471,0.13680467,0.12946998,0.26180077
68000,1.9531054,0.00029999999,-0.40686275949701667,35.0,20.295708,-0.4071301514452154,0.29762098,-20.285694,0.08564332,0.07813702,0.25050145
70000,1.9664111,0.00029999999,-0.4089635999075004,35.0,20.451685,-0.4061624923987048,0.31182277,-20.416464,0.09694455,0.086246796,0.23973767
72000,1.9865457,0.00029999996,-0.4299201314096098,35.0,20.63825,-0.4349376407536593,0.32831118,-20.599295,0.09377553,0.085909806,0.22978884
74000,1.9853513,0.00029999999,-0.46428573071690543,35.0,20.844156,-0.46148462620164665,0.27597594,-20.706045,0.086014844,0.07560919,0.22041555
76000,1.9814154,0.00029999996,-0.44919787685979495,35.0,20.95583,-0.449910904602571,0.33574656,-20.843157,0.10111695,0.095096916,0.21152258
78000,1.9920726,0.00029999999,-0.45448180880131467,35.0,20.93671,-0.455182105834995,0.33184716,-20.91428,0.10441989,0.08499797,0.20286794
80000,1.993683,0.00029999999,-0.4768907731798078,35.0,21.139196,-0.47549023053475786,0.25996605,-21.019382,0.07359874,0.071078986,0.19445996
82000,1.9954978,0.00029999999,-0.48389357454808696,35.0,21.293655,-0.48057044581933456,0.29802278,-21.108444,0.09973828,0.095620096,0.18631336
84000,1.991021,0.00029999999,-0.4803921738639474,35.0,21.235964,-0.48249303203608307,0.31692976,-21.183426,0.09714835,0.088797994,0.17851016
86000,1.9922731,0.00029999996,-0.4872912300267705,35.0,21.30607,-0.4877005701715296,0.23460364,-21.242453,0.06158913,0.060987346,0.17111689
88000,1.9944371,0.00029999996,-0.4803921738639474,35.0,21.363918,-0.48109247429030283,0.24746735,-21.27822,0.0747182,0.062438592,0.16398025
90000,1.9906749,0.00029999996,-0.47759105331663576,35.0,21.375662,-0.47486634660850874,0.20325337,-21.321663,0.06377322,0.065446466,0.15707223
92000,1.9808033,0.00029999999,-0.4827094644985416,35.0,21.422285,-0.4831933118402958,0.22488287,-21.35676,0.07484751,0.065122865,0.15049028
94000,2.0028226,0.00029999999,-0.4929972163268498,35.0,21.402264,-0.4919786442409862,0.21958166,-21.355482,0.05646181,0.054630205,0.14411837
96000,1.9723604,0.00029999999,-0.4740896526324962,35.0,21.3871,-0.47619050767804894,0.216461,-21.363388,0.058736827,0.05416636,0.13796812
98000,1.9867733,0.00029999999,-0.4691876916747008,35.0,21.405188,-0.46638658749205725,0.21725324,-21.3631,0.06400422,0.05983664,0.13202234
100000,1.9857465,0.00029999999,-0.4726890923588404,35.0,21.386663,-0.4777183933691545,0.25092888,-21.370657,0.07270473,0.07154433,0.12631707
102000,1.9809238,0.00029999999,-0.46114743825186183,35.0,21.256008,-0.46288518527788775,0.19297045,-21.321032,0.0597532,0.041465268,0.120892845
104000,1.9883288,0.00029999999,-0.4691622269424525,35.0,21.33069,-0.4655971773646095,0.20394778,-21.299429,0.051259477,0.05190529,0.115689315
106000,1.9867164,0.00029999996,-0.4628851704432496,35.0,21.274603,-0.4621849107955183,0.18146043,-21.27166,0.04660074,0.046442725,0.11067786
108000,1.9862431,0.00029999999,-0.4859944149585707,35.0,21.206528,-0.4884135826067491,0.19901708,-21.223488,0.053822625,0.046732955,0.10588365
110000,1.9898682,0.0003,-0.4726522355095336,35.0,21.19022,-0.4754902286721127,0.17041904,-21.191746,0.048538454,0.039855927,0.10129852
112000,1.9949331,0.0003,-0.4691084146780788,35.0,21.18408,-0.4655971779064699,0.18569922,-21.152802,0.04723968,0.045415252,0.09690529
114000,1.9886765,0.00029999999,-0.47128853208518456,35.0,20.991957,-0.4705882657851492,0.17702417,-21.09513,0.047556352,0.040578045,0.09263975
116000,1.9872338,0.00029999996,-0.46095632866286396,35.0,21.034708,-0.4670868696910994,0.17618462,-21.014994,0.04606669,0.041256126,0.08851924
118000,1.9872829,0.00029999999,-0.4614846101695938,35.0,20.932135,-0.4541889781301672,0.14763784,-20.953972,0.036467455,0.03828975,0.08462304
120000,1.9753039,0.00029999999,-0.47058825194835663,35.0,20.79357,-0.47198883204587866,0.14958636,-20.868834,0.041867472,0.03340477,0.080936834
122000,1.9898292,0.00029999999,-0.47128853208518456,35.0,20.76666,-0.4698752554980191,0.14065492,-20.810781,0.034825064,0.034285493,0.07743064
124000,1.9843608,0.00029999996,-0.47746819715227995,35.0,20.741547,-0.481792754892792,0.13490058,-20.734146,0.035823733,0.03068874,0.07405788
126000,1.9744636,0.00029999996,-0.4609693096915506,35.0,20.675575,-0.45989308005029506,0.13168971,-20.645082,0.034255955,0.031116527,0.07089332
128000,1.9928161,0.00029999999,-0.4698879718115287,35.0,20.55895,-0.4712885498468365,0.11223601,-20.56754,0.030612154,0.026042303,0.06785785
130000,1.988543,0.00029999999,-0.4827094644985416,35.0,20.480824,-0.48342249501835216,0.095915005,-20.48118,0.021533703,0.027470987,0.06492009
132000,1.973933,0.00029999999,-0.47058825194835663,35.0,20.296576,-0.4656863052930151,0.11131476,-20.366852,0.031483814,0.023722999,0.06212391
134000,1.9763907,0.00029999999,-0.47619049304297995,35.0,20.270432,-0.4768907885466303,0.11191591,-20.280825,0.028223293,0.02629871,0.05946202
136000,1.9757806,0.00029999999,-0.4393609451061046,35.0,20.16747,-0.44278077713467856,0.09335322,-20.153067,0.02644702,0.01930556,0.056909826
138000,1.980444,0.00029999999,-0.4582043505812946,35.0,19.963827,-0.4530812618987901,0.10250672,-20.045969,0.023472747,0.026861226,0.05445562
