Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
4000,1.9577498,0.00029999999,-0.03977820651269839,15.942622950819672,1.1003071,-0.040129612097358804,0.035785887,-1.5684841,0.0061677503,0.005466685,0.49094182
8000,1.9456047,0.00029999996,-0.04183569995301037,16.0,2.5156918,-0.04280350522157994,0.045217358,-2.6055672,0.010808883,0.010135474,0.4706648
12000,1.9583607,0.00029999999,-0.05172413812372191,16.0,3.4062936,-0.0510638306908151,0.07137352,-3.4767935,0.018183235,0.016629428,0.44882673
16000,1.9454244,0.0003,-0.03240279174583443,16.0,4.1965675,-0.03078848619727378,0.03178648,-4.21479,0.008617294,0.00910085,0.42691126
20000,1.9502522,0.00029999999,-0.038883350095001316,16.0,4.7818108,-0.03888335053698491,0.0652517,-4.842592,0.016749604,0.015755245,0.4051277
24000,1.9533762,0.00029999999,-0.034439416920654796,16.0,5.2245674,-0.03529411866626841,0.061876684,-5.251265,0.015471613,0.015945418,0.38518828
28000,1.9568673,0.00029999996,-0.048768225420489274,16.0,5.5107694,-0.049311640414785834,0.056820374,-5.5284047,0.013864839,0.013499885,0.36640784
32000,1.9515557,0.00029999999,-0.04012961131599495,16.0,5.6475472,-0.03913260290746467,0.0668578,-5.7201114,0.016685747,0.018599223,0.3483685
36000,1.9506359,0.00029999999,-0.03213049937822238,16.0,5.825273,-0.032040050625801085,0.01095714,-5.828197,0.0025791223,0.0025859328,0.33107305
40000,1.9558208,0.00029999999,-0.033215010265723384,16.0,5.822287,-0.03404255393654742,0.031802244,-5.847075,0.007417883,0.009197323,0.3145778
44000,1.9656489,0.00029999996,-0.0396311068275975,16.0,5.82429,-0.03888335067905107,0.03399451,-5.8355126,0.007302865,0.008999586,0.29896355
48000,1.9833069,0.00029999996,-0.039132602339200045,16.0,5.7591615,-0.039299124796339804,0.026685957,-5.7821436,0.0072072074,0.006492722,0.28411743
52000,1.9951385,0.00029999999,-0.047511312394188,16.0,5.665415,-0.04856070177035129,0.018887715,-5.6761327,0.004899024,0.0046780454,0.27026024
56000,1.9746127,0.00029999999,-0.03140578276903953,16.0,5.576015,-0.03028786041318102,0.009859997,-5.5611625,0.002750515,0.0028087967,0.25708622
